,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
30255,Cairo Santos,K,2016,15,KAN,TEN,12/18/2016,201612180kan,H,,17,19,-6,43,24.5,2,outdoors,grass ,"1 degrees, wind 5 mph",1,5,1,1,0,0,1,0,0,2,2,0,0,
30256,Jason Myers,K,2016,15,JAX,HOU,12/18/2016,201612180htx,A,,20,21,3.5,39.5,18,1,retractable roof (closed),fieldturf,indoors,,,2,2,0,1,0,0,1,2,2,0,0,
30257,Nick Novak,K,2016,15,HOU,JAX,12/18/2016,201612180htx,H,,21,20,-3.5,39.5,21.5,-1,retractable roof (closed),fieldturf,indoors,,,4,4,0,1,1,2,0,1,1,0,0,
30258,Matt Bryant,K,2016,15,ATL,SFO,12/18/2016,201612180atl,H,,41,13,-13.5,51.5,32.5,-28,dome,fieldturf ,indoors,,,2,2,0,0,0,1,1,5,5,0,0,
30259,Wil Lutz,K,2016,15,NOR,ARI,12/18/2016,201612180crd,A,,48,41,3,48.5,22.75,-7,retractable roof (closed),grass ,indoors,,,2,2,0,0,2,0,0,6,6,0,0,
30260,Sebastian Janikowski,K,2016,15,OAK,SDG,12/18/2016,201612180sdg,A,,19,16,-2.5,49.5,26,-3,outdoors,grass ,"62 degrees, wind 5 mph",62,5,4,4,0,1,1,2,0,1,1,0,0,
30261,Josh Lambo,K,2016,15,SDG,OAK,12/18/2016,201612180sdg,H,,16,19,2.5,49.5,23.5,3,outdoors,grass ,"62 degrees, wind 5 mph",62,5,1,1,0,0,1,0,0,1,2,0,0,
30262,Stephen Gostkowski,K,2016,15,NWE,DEN,12/18/2016,201612180den,A,,16,3,-3,43,23,-13,outdoors,grass ,"18 degrees, wind 9 mph",18,9,3,3,0,1,0,2,0,1,1,0,0,
30263,Roberto Aguayo,K,2016,15,TAM,DAL,12/18/2016,201612180dal,A,,20,26,7,47.5,20.25,6,retractable roof (closed),matrixturf,indoors,,,2,2,0,1,1,0,0,2,2,0,0,
30264,Dan Bailey,K,2016,15,DAL,TAM,12/18/2016,201612180dal,H,,26,20,-7,47.5,27.25,-6,retractable roof (closed),matrixturf,indoors,,,4,6,0,1,2,1,0,2,2,0,0,
30265,Graham Gano,K,2016,15,CAR,WAS,12/19/2016,201612190was,A,,26,15,7,50.5,21.75,-11,outdoors,grass ,"32 degrees, wind 8 mph",32,8,4,5,0,2,1,1,0,2,2,0,0,
30266,Robbie Gould,K,2016,16,NYG,PHI,12/22/2016,201612220phi,A,,19,24,1.5,42.5,20.5,5,outdoors,grass ,"40 degrees, wind 10 mph",40,10,4,4,0,1,2,1,0,1,1,0,0,
30267,Caleb Sturgis,K,2016,16,PHI,NYG,12/22/2016,201612220phi,H,,24,19,-1.5,42.5,22,-5,outdoors,grass ,"40 degrees, wind 10 mph",40,10,1,1,0,0,0,1,0,3,3,0,0,
30268,Kai Forbath,K,2016,16,MIN,GNB,12/24/2016,201612240gnb,A,,25,38,6,44.5,19.25,13,outdoors,grass ,"37 degrees, wind 8 mph",37,8,2,2,0,2,0,0,0,1,2,0,0,
30269,Mason Crosby,K,2016,16,GNB,MIN,12/24/2016,201612240gnb,H,,38,25,-6,44.5,25.25,-13,outdoors,grass ,"37 degrees, wind 8 mph",37,8,1,1,0,0,0,1,0,5,5,0,0,
30270,Josh Lambo,K,2016,16,SDG,CLE,12/24/2016,201612240cle,A,,17,20,-4.5,45,24.75,3,outdoors,grass ,"38 degrees, wind 13 mph",38,13,1,3,0,0,0,1,0,2,2,0,0,
30271,Cody Parkey,K,2016,16,CLE,SDG,12/24/2016,201612240cle,H,,20,17,4.5,45,20.25,-3,outdoors,grass ,"38 degrees, wind 13 mph",38,13,2,2,0,1,0,1,0,2,2,0,0,
30272,Dustin Hopkins,K,2016,16,WAS,CHI,12/24/2016,201612240chi,A,,41,21,-3,49,26,-20,outdoors,grass ,"37 degrees, wind 1 mph",37,1,2,2,0,2,0,0,0,5,5,0,0,
30273,Matt Bryant,K,2016,16,ATL,CAR,12/24/2016,201612240car,A,,33,16,-3,49,26,-17,outdoors,grass ,"56 degrees, wind 5 mph",56,5,4,5,0,1,0,1,2,3,3,0,0,
30274,Graham Gano,K,2016,16,CAR,ATL,12/24/2016,201612240car,H,,16,33,3,49,23,17,outdoors,grass ,"56 degrees, wind 5 mph",56,5,3,3,0,0,2,1,0,1,1,0,0,
30275,Andrew Franks,K,2016,16,MIA,BUF,12/24/2016,201612240buf,A,OT,34,31,4.5,44.5,20,-3,outdoors,a_turf,"38 degrees, wind 13 mph",38,13,2,3,0,1,0,0,1,4,4,0,0,
30276,Dan Carpenter,K,2016,16,BUF,MIA,12/24/2016,201612240buf,H,OT,31,34,-4.5,44.5,24.5,3,outdoors,a_turf,"38 degrees, wind 13 mph",38,13,1,3,0,1,0,0,0,4,4,0,0,
30277,Stephen Gostkowski,K,2016,16,NWE,NYJ,12/24/2016,201612240nwe,H,,41,3,-17,45,31,-38,outdoors,fieldturf ,"40 degrees, wind 6 mph",40,6,2,2,0,2,0,0,0,5,5,0,0,
30278,Ryan Succop,K,2016,16,TEN,JAX,12/24/2016,201612240jax,A,,17,38,-4,44,24,21,outdoors,grass ,"67 degrees, wind 5 mph",67,5,1,1,0,0,0,1,0,2,2,0,0,
30279,Jason Myers,K,2016,16,JAX,TEN,12/24/2016,201612240jax,H,,38,17,4,44,20,-21,outdoors,grass ,"67 degrees, wind 5 mph",67,5,4,4,0,1,0,1,2,2,4,0,0,
30280,Adam Vinatieri,K,2016,16,IND,OAK,12/24/2016,201612240rai,A,,25,33,3.5,52,24.25,8,outdoors,grass ,"50 degrees, wind 9 mph",50,9,1,1,0,0,0,1,0,2,2,0,0,
30281,Chandler Catanzaro,K,2016,16,ARI,SEA,12/24/2016,201612240sea,A,,34,31,9,43.5,17.25,-3,outdoors,fieldturf ,"39 degrees, wind 2 mph",39,2,2,3,0,0,0,2,0,4,4,0,0,
30282,Stephen Hauschka,K,2016,16,SEA,ARI,12/24/2016,201612240sea,H,,31,34,-9,43.5,26.25,3,outdoors,fieldturf ,"39 degrees, wind 2 mph",39,2,1,2,0,1,0,0,0,2,3,0,0,
30283,Roberto Aguayo,K,2016,16,TAM,NOR,12/24/2016,201612240nor,A,,24,31,3,53,25,7,dome,sportturf,indoors,,,1,1,0,0,1,0,0,3,3,0,0,
30284,Wil Lutz,K,2016,16,NOR,TAM,12/24/2016,201612240nor,H,,31,24,-3,53,28,-7,dome,sportturf,indoors,,,3,3,0,1,1,1,0,2,2,0,0,
30285,Randy Bullock,K,2016,16,CIN,HOU,12/24/2016,201612240htx,A,,10,12,3,41.5,19.25,2,retractable roof (closed),fieldturf,indoors,,,1,2,0,0,0,1,0,1,1,0,0,
30286,Justin Tucker,K,2016,16,BAL,PIT,12/25/2016,201612250pit,A,,27,31,5.5,46.5,20.5,4,outdoors,grass ,"41 degrees, wind 9 mph",41,9,4,4,0,1,1,2,0,1,1,0,0,
30287,Chris Boswell,K,2016,16,PIT,BAL,12/25/2016,201612250pit,H,,31,27,-5.5,46.5,26,-4,outdoors,grass ,"41 degrees, wind 9 mph",41,9,1,1,0,0,1,0,0,4,4,0,0,
30288,Brandon McManus,K,2016,16,DEN,KAN,12/25/2016,201612250kan,A,,10,33,3.5,38,17.25,23,outdoors,grass ,"53 degrees, wind 9 mph",53,9,1,1,0,0,0,0,1,1,1,0,0,
30289,Cairo Santos,K,2016,16,KAN,DEN,12/25/2016,201612250kan,H,,33,10,-3.5,38,20.75,-23,outdoors,grass ,"53 degrees, wind 9 mph",53,9,2,3,0,1,1,0,0,3,4,0,0,
30290,Stephen Gostkowski,K,2016,17,NWE,MIA,1/1/2017,201701010mia,A,,35,14,-7.5,47,27.25,-21,outdoors,grass ,"80 degrees, wind 15 mph",80,15,2,3,0,1,0,1,0,3,3,0,0,
30291,Graham Gano,K,2016,17,CAR,TAM,1/1/2017,201701010tam,A,,16,17,3,44.5,20.75,1,outdoors,grass ,"81 degrees, wind 6 mph",81,6,1,4,0,0,0,0,1,1,1,0,0,
30292,Roberto Aguayo,K,2016,17,TAM,CAR,1/1/2017,201701010tam,H,,17,16,-3,44.5,23.75,-1,outdoors,grass ,"81 degrees, wind 6 mph",81,6,1,3,0,0,1,0,0,2,2,0,0,
30293,Jason Myers,K,2016,17,JAX,IND,1/1/2017,201701010clt,A,,20,24,5.5,48.5,21.5,4,retractable roof (closed),fieldturf ,indoors,,,2,4,0,0,0,2,0,2,2,0,0,
30294,Adam Vinatieri,K,2016,17,IND,JAX,1/1/2017,201701010clt,H,,24,20,-5.5,48.5,27,-4,retractable roof (closed),fieldturf ,indoors,,,1,2,0,0,0,1,0,3,3,0,0,
30295,Justin Tucker,K,2016,17,BAL,CIN,1/1/2017,201701010cin,A,,10,27,-2.5,40.5,21.5,17,outdoors,fieldturf ,"40 degrees, wind 6 mph",40,6,1,1,0,0,1,0,0,1,1,0,0,
30296,Randy Bullock,K,2016,17,CIN,BAL,1/1/2017,201701010cin,H,,27,10,2.5,40.5,19,-17,outdoors,fieldturf ,"40 degrees, wind 6 mph",40,6,2,2,0,2,0,0,0,3,3,0,0,
30297,Cody Parkey,K,2016,17,CLE,PIT,1/1/2017,201701010pit,A,OT,24,27,3,41.5,19.25,3,outdoors,grass ,"41 degrees, wind 1 mph",41,1,1,2,0,0,1,0,0,3,3,0,0,
30298,Dan Bailey,K,2016,17,DAL,PHI,1/1/2017,201701010phi,A,,13,27,6.5,44,18.75,14,outdoors,grass ,"50 degrees, wind 10 mph",50,10,2,2,0,1,0,1,0,1,1,0,0,
30299,Caleb Sturgis,K,2016,17,PHI,DAL,1/1/2017,201701010phi,H,,27,13,-6.5,44,25.25,-14,outdoors,grass ,"50 degrees, wind 10 mph",50,10,2,3,0,1,1,0,0,3,3,0,0,
30300,Nick Novak,K,2016,17,HOU,TEN,1/1/2017,201701010oti,A,,17,24,3,41.5,19.25,7,outdoors,grass ,"52 degrees, wind 7 mph",52,7,1,2,0,1,0,0,0,2,2,0,0,
30301,Ryan Succop,K,2016,17,TEN,HOU,1/1/2017,201701010oti,H,,24,17,-3,41.5,22.25,-7,outdoors,grass ,"52 degrees, wind 7 mph",52,7,1,1,0,0,1,0,0,3,3,0,0,
30302,Dan Carpenter,K,2016,17,BUF,NYJ,1/1/2017,201701010nyj,A,,10,30,-3.5,43,23.25,20,outdoors,fieldturf ,"42 degrees, wind 11 mph",42,11,1,1,0,0,1,0,0,1,1,0,0,
30303,Nick Folk,K,2016,17,NYJ,BUF,1/1/2017,201701010nyj,H,,30,10,3.5,43,19.75,-20,outdoors,fieldturf ,"42 degrees, wind 11 mph",42,11,3,3,0,1,2,0,0,3,3,0,0,
30304,Connor Barth,K,2016,17,CHI,MIN,1/1/2017,201701010min,A,,10,38,6,44,19,28,dome,sportturf,indoors,,,1,1,0,1,0,0,0,1,1,0,0,
30305,Kai Forbath,K,2016,17,MIN,CHI,1/1/2017,201701010min,H,,38,10,-6,44,25,-28,dome,sportturf,indoors,,,1,1,0,1,0,0,0,5,5,0,0,
30306,Robbie Gould,K,2016,17,NYG,WAS,1/1/2017,201701010was,A,,19,10,9,47.5,19.25,-9,outdoors,grass ,"53 degrees, wind 1 mph",53,1,2,2,0,1,0,1,0,1,1,0,0,
30307,Dustin Hopkins,K,2016,17,WAS,NYG,1/1/2017,201701010was,H,,10,19,-9,47.5,28.25,9,outdoors,grass ,"53 degrees, wind 1 mph",53,1,1,2,0,0,1,0,0,1,1,0,0,
30308,Brandon McManus,K,2016,17,DEN,OAK,1/1/2017,201701010den,H,,24,6,-1,40,20.5,-18,outdoors,grass ,"45 degrees, wind 9 mph",45,9,1,2,0,1,0,0,0,3,3,0,0,
30309,Stephen Hauschka,K,2016,17,SEA,SFO,1/1/2017,201701010sfo,A,,25,23,-11.5,45,28.25,-2,outdoors,grass,"54 degrees, wind 5 mph",54,5,4,4,0,1,3,0,0,1,2,0,0,
30310,Cairo Santos,K,2016,17,KAN,SDG,1/1/2017,201701010sdg,A,,37,27,-5.5,45,25.25,-10,outdoors,grass ,"59 degrees, wind 10 mph",59,10,3,3,0,1,2,0,0,4,4,0,0,
30311,Josh Lambo,K,2016,17,SDG,KAN,1/1/2017,201701010sdg,H,,27,37,5.5,45,19.75,10,outdoors,grass ,"59 degrees, wind 10 mph",59,10,2,2,0,1,1,0,0,3,3,0,0,
30312,Chandler Catanzaro,K,2016,17,ARI,LAR,1/1/2017,201701010ram,A,,44,6,-7,39,23,-38,outdoors,grass,"59 degrees, no wind",59,0,3,3,0,0,2,1,0,5,5,0,0,
30313,Wil Lutz,K,2016,17,NOR,ATL,1/1/2017,201701010atl,A,,32,38,7.5,58.5,25.5,6,dome,fieldturf ,indoors,,,2,2,1,0,0,1,0,2,2,0,0,
30314,Matt Bryant,K,2016,17,ATL,NOR,1/1/2017,201701010atl,H,,38,32,-7.5,58.5,33,-6,dome,fieldturf ,indoors,,,1,1,0,1,0,0,0,5,5,0,0,
30315,Mason Crosby,K,2016,17,GNB,DET,1/1/2017,201701010det,A,,31,24,-3.5,50,26.75,-7,dome,fieldturf ,indoors,,,1,1,0,0,0,0,1,2,3,0,0,
30316,Matt Prater,K,2016,17,DET,GNB,1/1/2017,201701010det,H,,24,31,3.5,50,23.25,7,dome,fieldturf ,indoors,,,1,2,0,0,0,0,1,3,3,0,0,
30317,Josh Scobee,K,2015,1,PIT,NWE,9/10/2015,201509100nwe,A,,21,28,7,52,22.5,7,outdoors,fieldturf ,"65 degrees relative humidity 0%, wind 7 mph, wind chill 0",65,7,2,4,0,1,0,1,0,1,1,0,0,
30318,Mason Crosby,K,2015,1,GNB,CHI,9/13/2015,201509130chi,A,,31,23,-6.5,49,27.75,-8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,1,1,0,0,1,0,0,4,4,0,0,
30319,Robbie Gould,K,2015,1,CHI,GNB,9/13/2015,201509130chi,H,,23,31,6.5,49,21.25,8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,3,3,0,1,0,1,1,2,2,0,0,
30320,Stephen Hauschka,K,2015,1,SEA,STL,9/13/2015,201509130ram,A,OT,31,34,-4,40.5,22.25,3,dome,astroplay,indoors,,,3,3,0,2,1,0,0,2,2,0,0,
30321,Greg Zuerlein,K,2015,1,STL,SEA,9/13/2015,201509130ram,H,OT,34,31,4,40.5,18.25,-3,dome,astroplay,indoors,,,2,2,0,0,2,0,0,4,4,0,0,
30322,Cairo Santos,K,2015,1,KAN,HOU,9/13/2015,201509130htx,A,,27,20,1,41,20,-7,retractable roof (closed),grass ,indoors,,,2,3,0,1,0,1,0,3,3,0,0,
30323,Andrew Franks,K,2015,1,MIA,WAS,9/13/2015,201509130was,A,,17,10,-3,43.5,23.25,-7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,1,1,0,1,0,0,0,2,2,0,0,
30324,Kai Forbath,K,2015,1,WAS,MIA,9/13/2015,201509130was,H,,10,17,3,43.5,20.25,7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,1,2,0,0,0,1,0,1,1,0,0,
30325,Graham Gano,K,2015,1,CAR,JAX,9/13/2015,201509130jax,A,,20,9,-3,40.5,21.75,-11,outdoors,grass ,"77 degrees relative humidity 55%, wind 7 mph, wind chill 0",77,7,2,4,0,0,0,2,0,2,2,0,0,
30326,Dan Carpenter,K,2015,1,BUF,IND,9/13/2015,201509130buf,H,,27,14,2.5,45,21.25,-13,outdoors,a_turf,"56 degrees relative humidity 78%, wind 15 mph, wind chill 0",56,15,2,2,0,0,0,2,0,3,3,0,0,
30327,Travis Coons,K,2015,1,CLE,NYJ,9/13/2015,201509130nyj,A,,10,31,3.5,39.5,18,21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,1,1,0,1,0,0,0,1,1,0,0,
30328,Nick Folk,K,2015,1,NYJ,CLE,9/13/2015,201509130nyj,H,,31,10,-3.5,39.5,21.5,-21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,1,1,0,0,1,0,0,4,4,0,0,
30329,Zach Hocker,K,2015,1,NOR,ARI,9/13/2015,201509130crd,A,,19,31,2,48.5,23.25,12,retractable roof (closed),grass ,indoors,,,4,4,0,1,2,1,0,1,1,0,0,
30330,Chandler Catanzaro,K,2015,1,ARI,NOR,9/13/2015,201509130crd,H,,31,19,-2,48.5,25.25,-12,retractable roof (closed),grass ,indoors,,,1,1,0,0,0,1,0,4,4,0,0,
30331,Josh Lambo,K,2015,1,SDG,DET,9/13/2015,201509130sdg,H,,33,28,-2.5,45.5,24,-5,outdoors,grass ,"84 degrees relative humidity 47%, wind 10 mph, wind chill 0",84,10,2,2,0,1,1,0,0,3,4,0,0,
30332,Mike Nugent,K,2015,1,CIN,OAK,9/13/2015,201509130rai,A,,33,13,-3,43,23,-20,outdoors,grass ,"73 degrees relative humidity 59%, wind 9 mph, wind chill 0",73,9,2,2,0,0,2,0,0,3,4,0,0,
30333,Justin Tucker,K,2015,1,BAL,DEN,9/13/2015,201509130den,A,,13,19,4.5,48,21.75,6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,2,2,0,0,0,1,1,1,1,0,0,
30334,Brandon McManus,K,2015,1,DEN,BAL,9/13/2015,201509130den,H,,19,13,-4.5,48,26.25,-6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,4,4,0,0,1,1,2,1,1,0,0,
30335,Josh Brown,K,2015,1,NYG,DAL,9/13/2015,201509130dal,A,,26,27,6,51.5,22.75,1,retractable roof (closed),matrixturf,indoors,,,4,4,1,0,1,1,1,2,2,0,0,
30336,Dan Bailey,K,2015,1,DAL,NYG,9/13/2015,201509130dal,H,,27,26,-6,51.5,28.75,-1,retractable roof (closed),matrixturf,indoors,,,2,2,0,1,1,0,0,3,3,0,0,
30337,Cody Parkey,K,2015,1,PHI,ATL,9/14/2015,201509140atl,A,,24,26,-2.5,54.5,28.5,2,dome,fieldturf ,indoors,,,1,2,0,1,0,0,0,3,3,0,0,
30338,Matt Bryant,K,2015,1,ATL,PHI,9/14/2015,201509140atl,H,,26,24,2.5,54.5,26,-2,dome,fieldturf ,indoors,,,4,4,0,0,1,3,0,2,2,0,0,
30339,Phil Dawson,K,2015,1,SFO,MIN,9/14/2015,201509140sfo,H,,20,3,1.5,41.5,20,-17,outdoors,grass,"70 degrees relative humidity 63%, wind 5 mph, wind chill 0",70,5,2,3,0,1,1,0,0,2,2,0,0,
30340,Brandon McManus,K,2015,2,DEN,KAN,9/17/2015,201509170kan,A,,31,24,3,42,19.5,-7,outdoors,grass ,"87 degrees relative humidity 59%, wind 13 mph, wind chill 0",87,13,1,1,0,0,0,0,1,4,4,0,0,
30341,Cairo Santos,K,2015,2,KAN,DEN,9/17/2015,201509170kan,H,,24,31,-3,42,22.5,7,outdoors,grass ,"87 degrees relative humidity 59%, wind 13 mph, wind chill 0",87,13,1,1,0,0,1,0,0,3,3,0,0,
30342,Robbie Gould,K,2015,2,CHI,ARI,9/20/2015,201509200chi,H,,23,48,2,46,22,25,outdoors,grass ,"70 degrees relative humidity 47%, wind 6 mph, wind chill 0",70,6,3,3,0,1,0,1,1,2,2,0,0,
30343,Kyle Brindza,K,2015,2,TAM,NOR,9/20/2015,201509200nor,A,,26,19,10,47.5,18.75,-7,dome,sportturf,indoors,,,4,5,0,1,2,0,1,2,2,0,0,
30344,Randy Bullock,K,2015,2,HOU,CAR,9/20/2015,201509200car,A,,17,24,3,39.5,18.25,7,outdoors,grass ,"88 degrees relative humidity 43%, wind 6 mph, wind chill 0",88,6,1,1,0,0,0,1,0,2,2,0,0,
30345,Graham Gano,K,2015,2,CAR,HOU,9/20/2015,201509200car,H,,24,17,-3,39.5,21.25,-7,outdoors,grass ,"88 degrees relative humidity 43%, wind 6 mph, wind chill 0",88,6,1,2,0,1,0,0,0,3,3,0,0,
30346,Phil Dawson,K,2015,2,SFO,PIT,9/20/2015,201509200pit,A,,18,43,6.5,45.5,19.5,25,outdoors,grass ,"66 degrees relative humidity 60%, wind 10 mph",66,10,1,1,0,0,0,1,0,1,1,0,0,
30347,Stephen Gostkowski,K,2015,2,NWE,BUF,9/20/2015,201509200buf,A,,40,32,-1,44,22.5,-8,outdoors,a_turf,"62 degrees relative humidity 57%, wind 7 mph, wind chill 0",62,7,4,4,0,2,0,1,1,4,4,0,0,
30348,Matt Bryant,K,2015,2,ATL,NYG,9/20/2015,201509200nyg,A,,24,20,2.5,51,24.25,-4,outdoors,fieldturf ,"73 degrees relative humidity 47%, wind 9 mph, wind chill 0",73,9,1,1,0,0,0,1,0,3,3,0,0,
30349,Josh Brown,K,2015,2,NYG,ATL,9/20/2015,201509200nyg,H,,20,24,-2.5,51,26.75,4,outdoors,fieldturf ,"73 degrees relative humidity 47%, wind 9 mph, wind chill 0",73,9,2,2,0,0,1,1,0,2,2,0,0,
30350,Matt Prater,K,2015,2,DET,MIN,9/20/2015,201509200min,A,,16,26,2,43.5,20.75,10,outdoors,fieldturf,"67 degrees relative humidity 0%, no wind, wind chill 0",67,0,1,1,0,1,0,0,0,1,1,0,0,
30351,Blair Walsh,K,2015,2,MIN,DET,9/20/2015,201509200min,H,,26,16,-2,43.5,22.75,-10,outdoors,fieldturf,"67 degrees relative humidity 0%, no wind, wind chill 0",67,0,2,2,0,2,0,0,0,2,3,0,0,
30352,Josh Lambo,K,2015,2,SDG,CIN,9/20/2015,201509200cin,A,,19,24,3,47,22,5,outdoors,fieldturf ,"69 degrees relative humidity 47%, wind 6 mph, wind chill 0",69,6,2,3,0,0,1,1,0,1,1,0,0,
30353,Mike Nugent,K,2015,2,CIN,SDG,9/20/2015,201509200cin,H,,24,19,-3,47,25,-5,outdoors,fieldturf ,"69 degrees relative humidity 47%, wind 6 mph, wind chill 0",69,6,1,2,0,1,0,0,0,3,3,0,0,
30354,Greg Zuerlein,K,2015,2,STL,WAS,9/20/2015,201509200was,A,,10,24,-3,41,22,14,outdoors,grass ,"72 degrees relative humidity 56%, wind 9 mph, wind chill 0",72,9,1,1,0,0,0,0,1,1,1,0,0,
30355,Dustin Hopkins,K,2015,2,WAS,STL,9/20/2015,201509200was,H,,24,10,3,41,19,-14,outdoors,grass ,"72 degrees relative humidity 56%, wind 9 mph, wind chill 0",72,9,1,1,0,0,0,1,0,3,3,0,0,
30356,Andrew Franks,K,2015,2,MIA,JAX,9/20/2015,201509200jax,A,,20,23,-6,41.5,23.75,3,outdoors,grass ,"87 degrees relative humidity 55%, wind 5 mph, wind chill 0",87,5,2,3,0,0,0,2,0,2,2,0,0,
30357,Jason Myers,K,2015,2,JAX,MIA,9/20/2015,201509200jax,H,,23,20,6,41.5,17.75,-3,outdoors,grass ,"87 degrees relative humidity 55%, wind 5 mph, wind chill 0",87,5,3,3,0,2,0,0,1,2,2,0,0,
30358,Justin Tucker,K,2015,2,BAL,OAK,9/20/2015,201509200rai,A,,33,37,-6,43,24.5,4,outdoors,grass ,"80 degrees relative humidity 32%, wind 8 mph, wind chill 0",80,8,4,4,0,2,2,0,0,3,3,0,0,
30359,Sebastian Janikowski,K,2015,2,OAK,BAL,9/20/2015,201509200rai,H,,37,33,6,43,18.5,-4,outdoors,grass ,"80 degrees relative humidity 32%, wind 8 mph, wind chill 0",80,8,3,3,0,1,0,2,0,4,4,0,0,
30360,Dan Bailey,K,2015,2,DAL,PHI,9/20/2015,201509200phi,A,,20,10,5,55,25,-10,outdoors,grass ,"77 degrees relative humidity 37%, wind 15 mph, wind chill 0",77,15,2,2,0,2,0,0,0,2,2,0,0,
30361,Cody Parkey,K,2015,2,PHI,DAL,9/20/2015,201509200phi,H,,10,20,-5,55,30,10,outdoors,grass ,"77 degrees relative humidity 37%, wind 15 mph, wind chill 0",77,15,1,1,0,0,0,1,0,1,1,0,0,
30362,Stephen Hauschka,K,2015,2,SEA,GNB,9/20/2015,201509200gnb,A,,17,27,3,49,23,10,outdoors,grass ,"62 degrees relative humidity 52%, wind 9 mph, wind chill 0",62,9,1,1,0,0,0,0,1,2,2,0,0,
30363,Mason Crosby,K,2015,2,GNB,SEA,9/20/2015,201509200gnb,H,,27,17,-3,49,26,-10,outdoors,grass ,"62 degrees relative humidity 52%, wind 9 mph, wind chill 0",62,9,4,4,1,1,0,1,1,1,1,0,0,
30364,Nick Folk,K,2015,2,NYJ,IND,9/21/2015,201509210clt,A,,20,7,7,46.5,19.75,-13,retractable roof (closed),fieldturf ,indoors,,,2,3,0,0,1,1,0,2,2,0,0,
30365,Dustin Hopkins,K,2015,3,WAS,NYG,9/24/2015,201509240nyg,A,,21,32,3.5,44,20.25,11,outdoors,fieldturf ,"71 degrees relative humidity 60%, wind 4 mph, wind chill 0",71,4,2,2,0,0,1,1,0,1,1,0,0,
30366,Josh Brown,K,2015,3,NYG,WAS,9/24/2015,201509240nyg,H,,32,21,-3.5,44,23.75,-11,outdoors,fieldturf ,"71 degrees relative humidity 60%, wind 4 mph, wind chill 0",71,4,3,3,0,0,2,1,0,3,3,0,0,
30367,Blair Walsh,K,2015,3,MIN,SDG,9/27/2015,201509270min,H,,31,14,-1,44.5,22.75,-17,outdoors,fieldturf,"75 degrees relative humidity 0%, wind 12 mph, wind chill 0",75,12,1,1,0,1,0,0,0,4,4,0,0,
30368,Justin Tucker,K,2015,3,BAL,CIN,9/27/2015,201509270rav,H,,24,28,-2.5,44.5,23.5,4,outdoors,sportturf,"70 degrees relative humidity 20%, wind 12 mph, wind chill 0",70,12,1,2,0,1,0,0,0,3,3,0,0,
30369,Sebastian Janikowski,K,2015,3,OAK,CLE,9/27/2015,201509270cle,A,,27,20,3.5,42.5,19.5,-7,outdoors,grass ,"75 degrees relative humidity 62%, wind 16 mph, wind chill 0",75,16,2,2,0,1,1,0,0,3,3,0,0,
30370,Travis Coons,K,2015,3,CLE,OAK,9/27/2015,201509270cle,H,,20,27,-3.5,42.5,23,7,outdoors,grass ,"75 degrees relative humidity 62%, wind 16 mph, wind chill 0",75,16,2,2,0,1,0,1,0,2,2,0,0,
30371,Randy Bullock,K,2015,3,HOU,TAM,9/27/2015,201509270htx,H,,19,9,-6.5,40.5,23.5,-10,retractable roof (closed),fieldturf,indoors,,,2,3,1,0,1,0,0,1,2,0,0,
30372,Matt Bryant,K,2015,3,ATL,DAL,9/27/2015,201509270dal,A,,39,28,-1,43.5,22.25,-11,retractable roof (closed),matrixturf,indoors,,,1,1,0,0,1,0,0,4,4,0,0,
30373,Zach Hocker,K,2015,3,NOR,CAR,9/27/2015,201509270car,A,,22,27,9.5,43.5,17,5,outdoors,grass ,"69 degrees relative humidity 90%, wind 9 mph, wind chill 0",69,9,1,1,0,0,1,0,0,1,1,0,0,
30374,Graham Gano,K,2015,3,CAR,NOR,9/27/2015,201509270car,H,,27,22,-9.5,43.5,26.5,-5,outdoors,grass ,"69 degrees relative humidity 90%, wind 9 mph, wind chill 0",69,9,2,2,0,1,0,1,0,3,3,0,0,
30375,Ryan Succop,K,2015,3,TEN,IND,9/27/2015,201509270oti,H,,33,35,3.5,46,21.25,2,outdoors,grass ,"74 degrees relative humidity 77%, wind 3 mph",74,3,2,2,0,1,1,0,0,3,3,0,0,
